Enable	Family Name	Family Model	Subgroup Model	Predicted Function/Substrate
Y	Glycosyl Transferase Family 1	UDPGT.hmm	A__Glycosidic_branch_elongating.hmm	Glycosidic branch elongating
Y	Glycosyl Transferase Family 1	UDPGT.hmm	B__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	C__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	D__Triterpenoid_Flavonoid-7-O-.hmm	Triterpenoid(oleananes) and Flavonoid-7-O
Y	Glycosyl Transferase Family 1	UDPGT.hmm	E__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	E__Flavonoid-7-O.hmm	Flavonoid-7-O
Y	Glycosyl Transferase Family 1	UDPGT.hmm	E__Small_phenolic.hmm	Small phenolic
Y	Glycosyl Transferase Family 1	UDPGT.hmm	F__Flavonoid-3-O-.hmm	Flavonoid-3-O
Y	Glycosyl Transferase Family 1	UDPGT.hmm	G__Monoterpenoid_cyanogenic_glucoside.hmm	Monoterpenoid and cyanogenic glucoside
Y	Glycosyl Transferase Family 1	UDPGT.hmm	H__Cytokinin_N-.hmm	Cytokinin-N
Y	Glycosyl Transferase Family 1	UDPGT.hmm	I__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	J__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	K__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	L__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	L__Ester-forming.hmm	Ester forming
Y	Glycosyl Transferase Family 1	UDPGT.hmm	L__Flavonoid-5-O-.hmm	Flavonoid-5-O
Y	Glycosyl Transferase Family 1	UDPGT.hmm	L__Hydroxycinnamate.hmm	Hydroxycinnamate
Y	Glycosyl Transferase Family 1	UDPGT.hmm	M__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	N__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	O__.hmm	Flavonoid
Y	Glycosyl Transferase Family 1	UDPGT.hmm	O__Cytokinin-O-.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	ORM-like__Flavonoid.hmm	Cytokinin-O
Y	Glycosyl Transferase Family 1	UDPGT.hmm	P__.hmm	Not summarized
Y	Glycosyl Transferase Family 1	UDPGT.hmm	R__Flavonoid-C-.hmm	Flavonoid-C
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CesA.hmm	cellulose synthesis
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLB.hmm	Unknown
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLD.hmm	Unknown
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLE.hmm	Unknown
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLF.hmm	(1,3;1,4)-β-glucan synthesis
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLG.hmm	Unknown
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLH.hmm	(1,3;1,4)-β-glucan synthesis
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLJ.hmm	(1,3;1,4)-β-glucan synthesis
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLM_CSyGT.hmm	transfer glucuronic acid to triterpenoid aglycones C-3
Y	Glycosyl Transferase Family 2	Cellulose_synt.hmm	CSLM_UnknownFunction.hmm	Unknown